"key","deprecated","description","since"
"ActionButton.separatorColor","","ActionButton separator line color","2023.1"
"Banner.infoBackground","","",""
"Banner.infoBorderColor","","",""
"Banner.successBackground","","",""
"Banner.successBorderColor","","",""
"Banner.warningBackground","","The background of banners (experimental UI only)",""
"Banner.warningBorderColor","","",""
"Banner.errorBackground","","",""
"Banner.errorBorderColor","","",""
"Bookmark.iconBackground","","The background of the default bookmark icon.",""
"Bookmark.Mnemonic.iconForeground","","The text color on the bookmark icon with mnemonic.",""
"Bookmark.Mnemonic.iconBackground",true,"The background of the bookmark icon with mnemonic.",""
"Bookmark.Mnemonic.iconBorderColor",true,"The border color of the bookmark icon with mnemonic.",""
"Bookmark.MnemonicAvailable.foreground","","The button text color for unassigned bookmark mnemonics.",""
"Bookmark.MnemonicAvailable.background","","The button background for unassigned bookmark mnemonics.",""
"Bookmark.MnemonicAvailable.borderColor","","The button border color for unassigned bookmark mnemonics.",""
"Bookmark.MnemonicAssigned.foreground","","The button text color for already assigned bookmark mnemonics.",""
"Bookmark.MnemonicAssigned.background","","The button background for already assigned bookmark mnemonics.",""
"BookmarkMnemonicAssigned.borderColor",true,"The button border color for already assigned bookmark mnemonics.",""
"Bookmark.MnemonicCurrent.foreground","","The button text color for the currently selected bookmark mnemonic.",""
"Bookmark.MnemonicCurrent.background","","The button background for the currently selected bookmark mnemonic.",""
"BookmarkMnemonicCurrent.borderColor",true,"The button border color for the currently selected bookmark mnemonic.",""
"Breakpoint.iconHoverAlpha","","Transparency for breakpoint icon which pops up while hovering the gutter. A float in [0.0, 1.0]",""
"BigSpinner.background","","A translucent overlay background for decorated panel while loading",""
"Borders.color","","Used in tables, lists, toolbars, tool windows, editor split mode",""
"Borders.ContrastBorderColor","","Used in tool buttons bars and the navigation bar",""
"Button.minimumSize","","Minimum size of buttons",""
"Button.loadingForeground","","The color of button text when in the 'loading' state","2024.2"
"Button.default.loadingForeground","","The color of default button text when in the 'loading' state","2024.2"
"Button.Split.default.separatorColor","","Separator color for default split button",""
"Button.Split.default.iconColor","","Chevron arrow color for default split button",""
"CheckBox.iconSize","","Size of CheckBox icon",""
"ComboBox.minimumSize","","Minimum size of ComboBox",""
"Code.Inline.backgroundColor","","Inline code elements background","2024.1"
"Code.Inline.backgroundOpacity","","Inline code elements background opacity in percents","2024.1"
"Code.Inline.foregroundColor","","Inline code elements foreground","2024.1"
"Code.Inline.borderColor","","Inline code elements border color","2024.1"
"Code.Inline.borderWidth","","Inline code elements border width in pixels","2024.1"
"Code.Inline.borderRadius","","Inline code elements border radius in pixels","2024.1"
"Code.Block.backgroundColor","","Block code elements background","2024.1"
"Code.Block.backgroundOpacity","","Block code elements background opacity in percents","2024.1"
"Code.Block.EditorPane.backgroundColor","","Block code elements background in editor inline QuickDoc","2024.1"
"Code.Block.EditorPane.backgroundOpacity","","Block code elements background opacity in editor inline QuickDoc in percents","2024.1"
"Code.Block.EditorPane.borderColor","","Block code elements background in editor inline QuickDoc","2024.1"
"Code.Block.foregroundColor","","Block code elements foreground","2024.1"
"Code.Block.borderColor","","Block code elements border color","2024.1"
"Code.Block.borderWidth","","Block code elements border width in pixels","2024.1"
"Code.Block.borderRadius","","Block code elements border radius in pixels","2024.1"
"CombinedDiff.mainToolbarInsets","","Main toolbar insets of the Combined (All in One) Diff","2023.3"
"CombinedDiff.fileToolbarInsets","","File toolbar insets of the Combined (All in One) Diff","2023.3"
"CombinedDiff.gapBetweenBlocks","","Vertical gap between the Combined (All in One) Diff blocks","2023.3"
"CombinedDiff.leftRightBlockInset","","Horizontal insets around the Combined (All in One) Diff blocks","2023.3"
"CombinedDiff.BlockBorder.selectedActiveColor","","Active border color around current (selected) Combined (All in One) Diff block","2023.3"
"CombinedDiff.BlockBorder.selectedInactiveColor","","Inactive border color around current (selected) Combined (All in One) Diff block","2023.3"
"ComboPopup.border","","Combo box drop-down menu. Format: ""top, left, bottom, right, hex"", e.g. '1,1,1,1,FFFFFF'. Size in pixels",""
"CompletionPopup.Advertiser.background","","CompletionPopup advertiser background (experimental UI only)","2022.2"
"CompletionPopup.Advertiser.foreground","","CompletionPopup advertiser foreground (experimental UI only)","2022.2"
"CompletionPopup.Advertiser.fontSizeOffset","","CompletionPopup advertiser font size offset (experimental UI only)","2022.2"
"CompletionPopup.Advertiser.borderInsets","","CompletionPopup advertiser border insets (experimental UI only)","2022.2"
"CompletionPopup.background",true,"Uses Documentation popup color from editor color scheme instead",""
"CompletionPopup.Body.insets","","Insets around body  (experimental UI only). If bottom panel with advertiser is visible then BodyWithAdvertiser.insets is used instead","2022.2"
"CompletionPopup.BodyWithAdvertiser.insets","","Insets around body  (experimental UI only). Used only when the advertiser (bottom panel) is visible","2024.2"
"CompletionPopup.infoForeground",true,"Uses Label.infoForeground instead",""
"CompletionPopup.matchForeground","","The string in the completion suggestions list that matches the entered string ","2019.2"
"CompletionPopup.matchSelectionForeground",true,"The string in the completion suggestions list that matches the entered string when selected",""
"CompletionPopup.nonFocusedState",true,"Show completion popup as grayed-out until focused. Boolean. Default is ""true""",""
"CompletionPopup.foreground","","Gray text at the right border. Completion suggestions foreground is Label.foreground.","2019.2"
"CompletionPopup.nonFocusedMask","","Color mask with alpha to draw over not focused completion list","2019.2"
"CompletionPopup.selectionBackground","","Selected item background color of focused completion popup","2019.2"
"CompletionPopup.selectionForeground",true,"Not used, selection foreground doesn't change",""
"CompletionPopup.selectionInactiveBackground","","Selected item background color of non focused completion popup","2019.2"
"CompletionPopup.selectionInfoForeground",true,"Not used, selection foreground doesn't change",""
"CompletionPopup.selectionInnerInsets","","Inner insets in selection line (experimental UI only)","2022.2"
"DisclosureButton.arc","","Arc of disclosure button","2024.2"
"DisclosureButton.defaultBackground","","Background of disclosure button","2024.2"
"DisclosureButton.hoverOverlay","","Hover overlay color, which is painted over background for hover state","2024.2"
"DisclosureButton.pressedOverlay","","Pressed overlay color, which is painted over background for hover state","2024.2"
"DisclosureButton.textRightIconGap","","Gap between text and right icon","2024.2"
"FindPopup.scopesPanelInsets","","Inner insets of the scope selection panel in the Find in Files / Replace in Files popups","2023.1.1"
"FindPopup.bottomPanelInsets","","Inner insets of the bottom panel in the Find in Files / Replace in Files popups","2023.1.1"
"PresentationAssistant.Bright.Popup.foreground","","Presentation Assistant popup bright foreground (experimental UI only)","2023.3"
"PresentationAssistant.Bright.PopupBackground","","Presentation Assistant popup bright background (experimental UI only). PopupBackground name is used to not apply the '*.background' pattern default color","2023.3"
"PresentationAssistant.Bright.Popup.border","","Presentation Assistant popup bright border (experimental UI only)","2023.3"
