Color Name,Hex Code
White,#E4E6E7
White-10,#E4E6E71A
Gray 120,#979C9F
Gray 110,#84898B
Gray 100,#767D81
Gray 90,#626A6F
Gray 80,#50585D
Gray 70,#3F464B
Gray 60,#343A3F
Gray 50,#2A3034
Gray 40,#22272B
Gray 30,#1A1F23
Gray 20,#13171A
Gray 10,#0D1012
Black,#000000
Blue 110,#A2A8CE
Blue 100,#9AA0C5
Blue 90,#7F88BC
Blue 80,#626B9D
Blue 70,#4E5680
Blue 60,#59629A
Blue 50,#2F3552
Blue 40,#262B42
Blue 30,#1C2033
Blue 20,#151827
Blue 10-60,#0B0D1499
Blue 10,#0B0D14
Blue,#9AA0C5
Red 80,#9A484E
Red 70,#83393F
Red 60,#6B3037
Red 50,#4F272C
Red 40,#3C2024
Red 30,#2C1A1D
Red 20,#211315
Red 10,#0F0708
Green 80,#5F8558
Green 70,#4D6F48
Green 60,#3D5A3B
Green 50,#2F4630
Green 40,#25382A
Green 30,#1D2C22
Green 20,#152018
Green 10,#0A100C
Yellow 60,#594B2A
Yellow 50,#453B24
Yellow 40,#362F20
Yellow 30,#2A251C
Yellow 20,#1E1B15
Yellow 10,#0F0E0A
Purple 30,#241E26
Purple 20,#1A161B
Purple 10-60,#0C0A0D99
Purple 10,#0C0A0D
Blue Light,#AEB4D6
Coral,#D0686E
Cyan,#9DCFC3
Cyan Dark,#7DAFA3
Lime,#B3D8A8
Orange,#D9A57B
Pink,#C79AA5
Violet,#B3A6D9
Yellow,#C9AB57
Violet 70,#5C547A
Violet 60,#4A4462
Violet 50,#3A364D
Violet 40,#2D2A3C
Violet 30,#242133
Violet 20,#1A1825
Violet 10,#0C0B12
Transparent,#FFFFFF00
Neutral_160,#EEEFF0
Neutral_150,#DDDFE0
Neutral_140,#CDCFD1
Neutral_130,#ABAFB1
Neutral_120,#979C9F
Neutral_110,#84898B
Neutral_100,#767D81
Neutral_90,#626A6F
Neutral_80,#50585D
Neutral_70,#3F464B
Neutral_60,#343A3F
Neutral_50,#2A3034
Neutral_40,#22272B
Neutral_30,#1A1F23
Neutral_20,#13171A
Neutral_15,#101417
Neutral_10,#0D1012
Blue_160,#F5F6FC
Blue_150,#E4E7F6
Blue_140,#D0D4EC
Blue_130,#BCC1E0
Blue_120,#AEB4D6
Blue_110,#A2A8CE
Blue_100,#9AA0C5
Blue_90,#7F88BC
Blue_80,#626B9D
Blue_70,#4E5680
Blue_60,#3F466B
Blue_50,#2F3552
Blue_40,#262B42
Blue_30,#1C2033
Blue_20,#151827
Blue_10,#0B0D14
Green_160,#F4FAF3
Green_150,#E4F1E1
Green_140,#D0E6CB
Green_130,#B3D8A8
Green_120,#A8CF9D
Green_110,#A0C997
Green_100,#9BC392
Green_90,#7DA575
Green_80,#5F8558
Green_70,#4D6F48
Green_60,#3D5A3B
Green_50,#2F4630
Green_40,#25382A
Green_30,#1D2C22
Green_20,#152018
Green_10,#0A100C
Red_160,#FFF6F6
Red_150,#FCE6E7
Red_140,#F6D0D2
Red_130,#EEA9AD
Red_120,#E99499
Red_110,#E27F84
Red_100,#D0686E
Red_90,#B4565C
Red_80,#9A484E
Red_70,#83393F
Red_60,#6B3037
Red_50,#4F272C
Red_40,#3C2024
Red_30,#2C1A1D
Red_20,#211315
Red_10,#0F0708
Yellow_160,#FFF9EA
Yellow_150,#F8EFD6
Yellow_140,#EEDFB4
Yellow_130,#DDC57F
Yellow_120,#CDB060
Yellow_110,#D6BA6A
Yellow_100,#C9AB57
Yellow_90,#A98F45
Yellow_80,#8A7439
Yellow_70,#705E30
Yellow_60,#594B2A
Yellow_50,#453B24
Yellow_40,#362F20
Yellow_30,#2A251C
Yellow_20,#1E1B15
Yellow_10,#0F0E0A
Violet_160,#F8F6FD
Violet_150,#ECE8F8
Violet_140,#DED7F1
Violet_130,#C9BEE6
Violet_120,#BEB2DF
Violet_110,#B8ABDC
Violet_100,#B3A6D9
Violet_90,#8F84B8
Violet_80,#746A97
Violet_70,#5C547A
Violet_60,#4A4462
Violet_50,#3A364D
Violet_40,#2D2A3C
Violet_30,#242133
Violet_20,#1A1825
Violet_10,#0C0B12
Purple_160,#FBF6FB
Purple_150,#F3E9F3
Purple_140,#E8D8E8
Purple_130,#CCB0CC
Purple_120,#C2A6C3
Purple_110,#BBA0BC
Purple_100,#B79CB8
Purple_90,#957A96
Purple_80,#7A627B
Purple_70,#624F63
Purple_60,#4E404F
Purple_50,#3D333E
Purple_40,#302832
Purple_30,#241E26
Purple_20,#1A161B
Purple_10,#0C0A0D
YellowBright_10,#DCBE6A
LightTint_80,#E4E6E7CC
LightTint_70,#E4E6E7B2
LightTint_60,#E4E6E799
LightTint_50,#E4E6E780
LightTint_40,#E4E6E766
LightTint_30,#E4E6E74C
LightTint_20,#E4E6E733
LightTint_15,#E4E6E726
LightTint_12,#E4E6E71F
LightTint_10,#E4E6E71A
LightTint_8,#E4E6E714
LightTint_5,#E4E6E70D
LightTint_2,#E4E6E705
DarkTint_70,#0D1012B2
DarkTint_60,#0D101299
DarkTint_30,#0D10124C
DarkTint_20,#0D101233
DarkTint_15,#0D101226
DarkTint_10,#0D10121A
DarkTint_7,#0D101212
DarkTint_5,#0D10120D
DarkTint_3,#0D101208
BlueTint_60,#9AA0C599
BlueTint_50,#9AA0C580
BlueTint_40,#9AA0C566
BlueTint_30,#9AA0C54C
BlueTint_25,#9AA0C540
BlueTint_20,#9AA0C533
BlueTint_15,#9AA0C526
BlueTint_10,#9AA0C51A
BlueTint_5,#9AA0C50D
RedTint_50,#D0686E80
RedTint_30,#D0686E4C
RedTint_20,#D0686E33
RedTint_15,#D0686E26
RedTint_10,#D0686E1A
GreenTint_50,#9BC39280
GreenTint_40,#9BC39266
GreenTint_20,#9BC39233
GreenTint_10,#9BC3921A
VioletTint_40,#B3A6D966
VioletTint_20,#B3A6D933
Pink_30,#2E2428
PinkTint_10,#C79AA51A
OrangeTint_10,#D9A57B1A
Orange_30,#2D251E
YellowTint_50,#C9AB5780
YellowTint_40,#C9AB5766
YellowTint_20,#C9AB5733
LightTint_25,#E4E6E740
BlueTint_90,#9AA0C5E6
